
[17:06:38.282]收←◆SDRAM Capacity:16KB
SDRAM Capacity:1056KB
SDRAM Capacity:1072KB
SDRAM Capacity:1088KB
SDRAM Capacity:1104KB
SDRAM Capacity:1120KB
SDRAM Capacity:1136KB
SDRAM Capacity:1152KB
SDRAM Capacity:1168KB
SDRAM Capacity:1184KB
SDRAM Capacity:1200KB
SDRAM Capacity:1216KB
SDRAM Capacity:1232KB
SDRAM Capacity:1248KB
SDRAM Capacity:1264KB
SDRAM Capacity:1280KB
SDRAM Capacity:1296KB
SDRAM Capacity:1312KB
SDRAM Capacity:1328KB
SDRAM Capacity:1344KB
SDRAM Capacity:1360KB
SDRAM Capacity:1376KB
SDRAM Capacity:1392KB
SDRAM Capacity:1408KB
SDRAM Capacity:1424KB
SDRAM Capacity:1440KB
SDRAM Capacity:1456KB
SDRAM Capacity:1472KB
SDRAM Capacity:1488KB
SDRAM Capacity:1504KB
SDRAM Capacity:1520KB
SDRAM Capacity:1536KB
SDRAM Capacity:1552KB
SDRAM Capacity:1568KB
SDRAM Capacity:1584KB
SDRAM Capacity:1600KB
SDRAM Capacity:1616KB
SDRAM Capacity:1632KB
SDRAM Capacity:1648KB
SDRAM Capacity:1664KB
SDRAM Capacity:1680KB
SDRAM Capacity:1696KB
SDRAM Capacity:1712KB
SDRAM Capacity:1728KB
SDRAM Capacity:1744KB
SDRAM Capacity:1760KB
SDRAM Capacity:1776KB
SDRAM Capacity:1792KB
SDRAM Capacity:1808KB
SDRAM Capacity:1824KB
SDRAM Capacity:1840KB
SDRAM Capacity:1856KB
SDRAM Capacity:1872KB
SDRAM Capacity:1888KB
SDRAM Capacity:1904KB
SDRAM Capacity:1920KB
SDRAM Capacity:1936KB
SDRAM Capacity:1952KB
SDRAM Capacity:1968KB
SDRAM Capacity:1984KB
SDRAM Capacity:2000KB
SDRAM Capacity:2016KB
SDRAM Capacity:2032KB
SDRAM Capacity:2048KB
SDRAM Capacity:1040KB
SDRAM Capacity:1056KB
SDRAM Capacity:1072KB
SDRAM Capacity:1088KB
SDRAM Capacity:1104KB
SDRAM Capacity:1120KB
SDRAM Capacity:1136KB
SDRAM Capacity:1152KB
SDRAM Capacity:1168KB
SDRAM Capacity:1184KB
SDRAM Capacity:1200KB
